Removed Pin From Net: NetName=GND Pin=C3-1
Removed Pin From Net: NetName=GND Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C18-1
Removed Member From Class: ClassName=Processing_Rev3 Member=C14
Removed Member From Class: ClassName=Processing_Rev3 Member=C18
Change Component Footprint: Designator=C3 Old Footprint=CAP 0805_2012 New Footprint=FP-GRM21B-0_1-IPC_B
Change Component Comment : Designator=C3 Old Comment=0.1µF New Comment=GRM21B7U1A104JA01L
Change Managed Component Library Link : Designator=C3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=2C60E751-D5A0-49D0-9984-AD63390B88EC Old RevisionGUID= New RevisionGUID=603BBC75-0F7A-424B-954C-9A18DD8CFAE9
Change component parameters: Designator = "C3" ("C3"); Footprint = "CAP 0805_2012"; UniqueID = "\RFXCJLPR" ("\RFXCJLPR")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "U2J"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.053inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=0(FP-MF-SM075-MFG)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive Grade"; Value = "Grade 3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Fuse"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.bourns.com/docs/Product-Datasheets/mfsm.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "80A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Circuit Protection"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "PTC Resettable Fuses"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "PTC RESET FUSE 30V 750MA 2SMD"; VariantName = "[No Variations]"
